Unnamed: 0,seconds of the day,day of the year,roomTempUpperSetpoint,thermalZone.TAir,weaBus.TDryBul,weaBus.HDirNor,totalHeatingPower.y,weaBus.HDifHor,u
0,0,1,21.0,293.15,278.25,0.0,4720.160499999999,0.0,1.0
1,900,1,21.0,293.8696077859872,278.30189732142856,0.0,1323.4962530907958,0.0,0.28039221401280656
2,1800,1,21.0,293.8704111916396,278.32589285714283,0.0,1319.7040494649025,0.0,0.27958880836041544
3,2700,1,21.0,293.8706570069181,278.31194196428567,0.0,1318.5437618967435,0.0,0.2793429930818547
4,3600,1,21.0,293.87021045120696,278.25,0.0,1320.651576525631,0.0,0.2797895487930191
5,4500,1,21.0,293.86901954626086,278.13571428571424,0.0,1326.2728390114653,0.0,0.28098045373911873
6,5400,1,21.0,293.8673770471996,277.99285714285713,0.0,1334.0256982015871,0.0,0.2826229528003523
7,6300,1,21.0,293.8657405487533,277.8535714285714,0.0,1341.7502335262022,0.0,0.28425945124666896
8,7200,1,21.0,293.86456440947427,277.75,0.0,1347.3017996936208,0.0,0.285435590525708
9,8100,1,21.0,293.8637818919779,277.67499999999995,0.0,1350.9954078705048,0.0,0.2862181080220694
10,9000,1,21.0,293.86297186917824,277.6,0.0,1354.8188454936028,0.0,0.2870281308217386
11,9900,1,21.0,293.8621318286292,277.525,0.0,1358.7839717116965,0.0,0.28786817137080334
12,10800,1,21.0,293.86126151482813,277.45,0.0,1362.891992537992,0.0,0.28873848517184797
13,11700,1,21.0,293.86036080847003,277.375,0.0,1367.1434711115724,0.0,0.2896391915299432
14,12600,1,21.0,293.85942970924987,277.29999999999995,0.0,1371.5384088721885,0.0,0.29057029075011087
15,13500,1,21.0,293.8584683205482,277.225,0.0,1376.076317847017,0.0,0.2915316794517935
16,14400,1,21.0,293.8574768854629,277.15,0.0,1380.7560505748145,0.0,0.29252311453706176
17,15300,1,21.0,293.85657626778925,277.08359375,0.0,1385.0071105436489,0.0,0.29342373221072654
18,16200,1,21.0,293.8558463396673,277.03125,0.0,1388.45248843261,0.0,0.294153660332654
19,17100,1,21.0,293.8552211840536,276.98828125,0.0,1391.4033232670397,0.0,0.29477881594641536
20,18000,1,21.0,293.85463456124785,276.95,0.0,1394.172277062965,0.0,0.2953654387521283
21,18900,1,21.0,293.85417530271684,276.92265625,0.0,1396.3400510403228,0.0,0.29582469728313754
22,19800,1,21.0,293.853843732691,276.90625,0.0,1397.9051147791886,0.0,0.29615626730895883
23,20700,1,21.0,293.8534407176149,276.88671875,0.0,1399.8074106224462,0.0,0.2965592823850898
24,21600,1,21.0,293.8527667381829,276.85,0.0,1402.9887017152244,0.0,0.2972332618170981
25,22500,1,21.0,293.8518803321189,276.79999999999995,0.0,1407.1726806052666,0.0,0.2981196678810534
26,23400,1,21.0,293.85096819676875,276.75,0.0,1411.478105855825,0.0,0.29903180323123024
27,24300,1,21.0,293.85003168711546,276.7,0.0,1415.8985817291343,0.0,0.29996831288451625
28,25200,1,21.0,293.84907146787464,276.65,0.0,1420.430970661011,0.0,0.3009285321253401
29,26100,1,21.0,293.848088205572,276.6,0.0,1425.0721265429363,0.0,0.30191179442795146
30,27000,1,21.0,293.8470825659888,276.54999999999995,0.0,1429.8189067809858,0.0,0.3029174340111922
31,27900,1,21.0,293.84605521179384,276.5,0.0,1434.6681834714789,0.0,0.30394478820613813
32,28800,1,21.0,293.8450063746658,276.45,0.0,1439.618863054248,0.0,0.30499362533419117
33,29700,1,21.0,293.8436782182957,276.3822265625,0.0,1445.887974290251,0.0,0.30632178170429825
34,30600,1,21.0,293.84193171388904,276.2859375,0.0,1454.131755403548,0.0,0.308068286110938
35,31500,1,21.0,293.8421516341471,276.1716796875,0.0,1453.0936964882303,1.8750000000000009,0.30784836585286257
36,32400,1,21.0,293.8456558277136,276.04999999999995,0.0,1436.553340431689,6.750000000000001,0.3043441722864486
