Unnamed: 0,seconds of the day,day of the year,roomTempUpperSetpoint,thermalZone.TAir,weaBus.TDryBul,weaBus.HDirNor,totalHeatingPower.y,weaBus.HDifHor,u
0,0,1,22.0,293.15,268.45,0.0,8043.8305,0.0,1.0
1,900,1,22.0,294.79907346200895,268.44062499999995,0.0,2822.793589551647,0.0,0.3509265379910289
2,1800,1,22.0,294.8022729549039,268.4375,0.0,2797.0574110185994,0.0,0.34772704509606456
3,2700,1,22.0,294.80469082805723,268.44062499999995,0.0,2777.608449202795,0.0,0.3453091719427448
4,3600,1,22.0,294.80625994716706,268.45,0.0,2764.986721049001,0.0,0.3437400528329135
5,4500,1,22.0,294.80702543390214,268.47265625,0.0,2758.8292755020466,0.0,0.34297456609783694
6,5400,1,22.0,294.80698373647846,268.50625,0.0,2759.1646825104376,0.0,0.3430162635215197
7,6300,1,22.0,294.8060572720726,268.53671875,0.0,2766.617005155267,0.0,0.3439427279273559
8,7200,1,22.0,294.804172518369,268.54999999999995,0.0,2781.777644481441,0.0,0.34582748163097676
9,8100,1,22.0,294.8014296891162,268.54999999999995,0.0,2803.840498081257,0.0,0.3485703108837583
10,9000,1,22.0,294.7980343751972,268.54999999999995,0.0,2831.15182774033,0.0,0.35196562480280136
11,9900,1,22.0,294.7940571596644,268.54999999999995,0.0,2863.1438753477937,0.0,0.35594284033555823
12,10800,1,22.0,294.78954424369675,268.54999999999995,0.0,2899.445006452444,0.0,0.36045575630322446
13,11700,1,22.0,294.7846150123744,268.5546875,0.0,2939.094907704836,0.0,0.3653849876255891
14,12600,1,22.0,294.77931804258213,268.5625,0.0,2981.7028348773542,0.0,0.37068195741784393
15,13500,1,22.0,294.7736310310729,268.5640625,0.0,3027.4481915091,0.0,0.3763689689270678
16,14400,1,22.0,294.76752710406134,268.54999999999995,0.0,3076.5471457745057,0.0,0.38247289593863343
17,15300,1,22.0,294.76100279323686,268.5140625,0.0,3129.027596176007,0.0,0.388997206763122
18,16200,1,22.0,294.7541571981979,268.4625,0.0,3184.0924023409893,0.0,0.39584280180207543
19,17100,1,22.0,294.74711236784464,268.4046875,0.0,3240.7598236039144,0.0,0.40288763215534124
20,18000,1,22.0,294.7399855480536,268.35,0.0,3298.0867540070844,0.0,0.4100144519463811
21,18900,1,22.0,294.73282156419447,268.29999999999995,0.0,3355.7126258746584,0.0,0.4171784358055106
22,19800,1,22.0,294.7256079128371,268.25,0.0,3413.738014679252,0.0,0.42439208716285753
23,20700,1,22.0,294.7183684983469,268.2,0.0,3471.970637758012,0.0,0.4316315016531007
24,21600,1,22.5,294.71112741737926,268.15,0.0,7552.1319156983,0.0,0.9388725826207178
25,22500,1,22.5,295.1707651722145,268.165625,0.0,3854.883724403171,0.0,0.47923482778548987
26,23400,1,22.5,295.1655810695696,268.25,0.0,3896.583767373152,0.0,0.4844189304303655
27,24300,1,22.5,295.16014328757194,268.309375,0.0,3940.3243640583664,0.0,0.4898567124280362
28,25200,1,22.5,295.1536631681765,268.25,0.0,3992.449346095227,0.0,0.4963368318234984
29,26100,1,22.5,295.1464142576803,268.1,0.0,4050.758353436116,0.0,0.5035857423196717
30,27000,1,22.5,295.1391894590988,267.95,0.0,4108.873408622717,0.0,0.5108105409012182
31,27900,1,22.5,295.1320074073559,267.79999999999995,0.0,4166.644615484505,0.0,0.5179925926440774
32,28800,1,22.5,295.1248767762639,267.65,0.0,4224.002203346784,0.0,0.5251232237361023
33,29700,1,22.5,295.1178038093683,267.5,0.0,4280.895950186923,0.0,0.5321961906316801
34,30600,1,22.5,295.11092184562506,267.35,0.0,4336.253300044689,0.0,0.5390781543749199
35,31500,1,22.5,295.1290579142772,267.2,27.29235011312217,4190.369837870397,4.150390625000002,0.5209420857227656
36,32400,1,22.5,295.1776590643381,267.04999999999995,90.1962669683258,3799.430424675421,13.901041666666671,0.4723409356618617
37,33300,1,22.5,295.2297074481614,266.9859375,160.2520503393665,3380.7620474021587,25.20117187500001,0.4202925518385996
38,34200,1,22.5,295.2639097397222,267.0625,209.0,3105.6446113754814,34.0,0.3860902602777969
39,35100,1,22.5,295.28137242929284,267.2328125,237.43024132730017,2965.177696394944,40.31640625,0.36862757070713315
40,36000,1,22.5,295.2968243143925,267.45,265.28984414278534,2840.885351747876,46.395833333333336,0.35317568560748214
41,36900,1,22.5,295.3099822910556,267.7494318181818,292.25452488687785,2735.044817747099,51.52734375,0.3400177089444014
42,37800,1,22.5,295.3218953455202,268.1318181818182,318.0,2639.2182268963616,55.0,0.3281046544797732
43,38700,1,22.5,295.3385677940698,268.4982954545454,342.87680288461536,2505.1078767436447,57.228515625,0.3114322059302026
44,39600,1,22.5,295.3449798648732,268.75,367.3936965811966,2453.530266046813,59.11979166666666,0.3050201351267674
45,40500,1,22.5,295.3505549850144,268.8972402597402,391.4637419871795,2408.6849446138463,60.701171875,0.2994450149855652
46,41400,1,22.5,295.3566642991772,269.0229437229437,415.0,2359.5426570173827,62.0,0.2933357008228086
47,42300,1,22.5,295.36345086969374,269.1371753246753,436.9216033324552,2304.952634105818,63.140625,0.2865491303062413
48,43200,1,22.5,295.37178738147657,269.25,455.3838909378293,2237.895146363486,64.20833333333333,0.278212618523412
49,44100,1,22.5,295.38254346382934,269.33891369047615,469.1542330742887,2151.375043073758,65.171875,0.26745653617064136
50,45000,1,22.5,295.3926890082743,269.3966269841269,477.0,2069.7660032281133,66.0,0.2573109917256602
51,45900,1,22.5,295.40138463279504,269.45602678571424,477.291847105612,1999.819873491748,66.515625,0.24861536720493402
52,46800,1,22.5,295.4085381820132,269.54999999999995,470.8056562085727,1942.2779361073508,66.625,0.24146181798676025
53,47700,1,22.5,295.41874629894886,270.1660361842105,459.916637207247,1860.1655737528524,66.421875,0.23125370105111642
54,48600,1,22.5,295.4330239988644,271.37887426900585,447.0,1745.3181757026232,66.0,0.21697600113560614
55,49500,1,22.5,295.44603857181687,272.60227521929824,432.89596774193546,1640.6311568428305,65.27130681818181,0.20396142818310636
56,50400,1,22.5,295.45115075398473,273.25,416.8612903225807,1599.5096299994143,63.80681818181818,0.1988492460152429
57,51300,1,22.5,295.44772032988175,273.38498803827747,398.89596774193546,1627.103380026958,61.18892045454545,0.2022796701182301
58,52200,1,22.5,295.4338495826412,273.4704944178628,379.0,1738.6773197383648,57.0,0.21615041735879004
59,53100,1,22.5,295.4207332190395,273.5207535885167,354.0483819105902,1844.183125326666,51.65170454545454,0.22926678096047223
60,54000,1,22.5,295.401567477957,273.54999999999995,322.40697541748784,1998.349098001436,45.93484848484848,0.24843252204300376
61,54900,1,22.5,295.37856929192304,273.5676573426573,286.3120812156415,2183.342608265842,40.00056818181818,0.2714307080769345
62,55800,1,22.5,295.34533529574867,273.565268065268,248.0,2450.6712403301563,34.0,0.30466470425130865
63,56700,1,22.5,295.28801302630853,273.5302447552447,187.4951768488746,2911.761859581933,27.763636363636365,0.3619869736914438
64,57600,1,22.5,295.2127207550685,273.45,104.66237942122186,3517.40012739665,21.26969696969697,0.4372792449314602
65,58500,1,22.5,295.15824987514884,272.9147157190635,31.498392282958207,3955.554652656385,14.890909090909094,0.4917501248511371
66,59400,1,22.5,295.1107350723793,271.8546265328874,0.0,4337.755672375275,9.0,0.5392649276206498
67,60300,1,22.5,295.094339931744,270.7672240802675,0.0,4469.635404669491,4.487215909090909,0.5556600682559747
68,61200,1,22.5,295.0848855651785,270.15,0.0,4545.684726807065,1.738636363636363,0.565114434821453
69,62100,1,22.5,295.0804775868415,269.9913095735786,0.0,4581.141757397904,0.3707386363636367,0.5695224131584951
70,63000,1,22.5,295.07781412664826,269.95979654403567,0.0,4602.566179735652,0.0,0.5721858733517138
71,63900,1,22.5,295.0767116576756,270.0733852424749,0.0,4611.434253283133,0.0,0.5732883423243607
72,64800,1,22.5,295.077079220277,270.35,0.0,4608.47764201924,0.0,0.5729207797229492
73,65700,1,22.5,295.07831353563944,270.7423076923077,0.0,4598.549018460467,0.0,0.571686464360539
74,66600,1,22.5,295.0797634719429,271.1653846153846,0.0,4586.885976599191,0.0,0.5702365280570234
75,67500,1,22.5,295.08111412250645,271.5807692307692,0.0,4576.021572401707,0.0,0.5688858774935284
76,68400,1,22.5,295.0820060384113,271.95,0.0,4568.847152042883,0.0,0.5679939615886838
77,69300,1,22.5,295.0825753238582,272.27884615384613,0.0,4564.267916402014,0.0,0.5674246761417976
78,70200,1,22.5,295.0830302305892,272.59358974358975,0.0,4560.608723764362,0.0,0.5669697694107754
79,71100,1,22.5,295.0833189482192,272.88653846153846,0.0,4558.286328086858,0.0,0.5666810517808472
80,72000,1,22.5,295.0833880162937,273.15,0.0,4557.730756201856,0.0,0.5666119837062523
81,72900,1,22.5,295.0830786457961,273.36586538461535,0.0,4560.219280046511,0.0,0.5669213542038847
82,73800,1,22.5,295.08230871553883,273.5211538461538,0.0,4566.412468532758,0.0,0.5676912844611479
83,74700,1,22.5,295.08111386188364,273.61586538461535,0.0,4576.023668807433,0.0,0.5688861381163406
84,75600,1,22.5,295.0794875457695,273.65,0.0,4589.105479969002,0.0,0.5705124542304816
85,76500,1,22.5,295.0770805112946,273.58310096153843,0.0,4608.467257292862,0.0,0.572919488705395
86,77400,1,22.5,295.0740353338418,273.43442307692305,0.0,4632.962148565644,0.0,0.5759646661581996
87,78300,1,22.5,295.07112556720125,273.2935336538461,0.0,4656.367818216604,0.0,0.5788744327987274
88,79200,1,22.0,295.0691507391667,273.25,0.0,650.3377501933862,0.0,0.08084926083330402
89,80100,1,22.0,294.6017363937367,273.29558035714285,0.0,4410.139518100534,0.0,0.5482636062632764
90,81000,1,22.0,294.5999510935651,273.3532142857143,0.0,4424.500170072544,0.0,0.5500489064348812
91,81900,1,22.0,294.5982924346445,273.40924107142854,0.0,4437.842141286969,0.0,0.5517075653554571
92,82800,1,22.0,294.59662701539025,273.45,0.0,4451.238491479721,0.0,0.5533729846097231
93,83700,1,22.0,294.5949431417799,273.4754464285714,0.0,4464.783285385,0.0,0.5550568582200981
94,84600,1,22.0,294.59333505940623,273.497619047619,0.0,4477.71842742868,0.0,0.5566649405937483
95,85500,1,22.0,294.5918346175466,273.5209821428571,0.0,4489.787727422448,0.0,0.5581653824533533
96,0,2,22.0,294.5904745121689,273.54999999999995,0.0,4500.728184543029,0.0,0.5595254878310811
97,900,2,22.0,294.5893856774585,273.6,0.0,4509.486586395557,0.0,0.5606143225414257
98,1800,2,22.0,294.58852357664654,273.66666666666663,0.0,4516.421179201315,0.0,0.5614764233534403
99,2700,2,22.0,294.58763866633313,273.725,0.0,4523.539247770026,0.0,0.5623613336668427
100,3600,2,22.0,294.58653489920727,273.75,0.0,4532.417763441989,0.0,0.5634651007927118
101,4500,2,22.0,294.5852875838174,273.75,0.0,4542.450957018303,0.0,0.5647124161826014
102,5400,2,22.0,294.58409890839,273.75,0.0,4552.012460675711,0.0,0.5659010916099874
103,6300,2,22.0,294.5829682510201,273.75,0.0,4561.107276912867,0.0,0.5670317489799004
104,7200,2,22.0,294.58189186929724,273.75,0.0,4569.765509044685,0.0,0.5681081307027398
105,8100,2,22.0,294.58086614924474,273.75,0.0,4578.016227287415,0.0,0.5691338507552359
106,9000,2,22.0,294.5798876449376,273.75,0.0,4585.887150077811,0.0,0.5701123550624061
107,9900,2,22.0,294.57895504665373,273.75,0.0,4593.388812597604,0.0,0.5710449533462452
108,10800,2,22.0,294.57806209056304,273.75,0.0,4600.571600035097,0.0,0.5719379094369401
109,11700,2,22.0,294.57701048407256,273.7288461538461,0.0,4609.030544397199,0.0,0.5729895159274179
110,12600,2,22.0,294.5757353386482,273.67692307692306,0.0,4619.28759805359,0.0,0.5742646613517763
111,13500,2,22.0,294.57437526002474,273.61153846153843,0.0,4630.227839967402,0.0,0.5756247399752397
112,14400,2,22.0,294.5730772968874,273.54999999999995,0.0,4640.668435439468,0.0,0.5769227031125865
113,15300,2,22.0,294.5717386353022,273.48116987179486,0.0,4651.436402327518,0.0,0.5782613646977666
114,16200,2,22.0,294.570276326884,273.39529914529913,0.0,4663.198963382567,0.0,0.5797236731160069
115,17100,2,22.0,294.56885302190267,273.3117788461538,0.0,4674.647787401961,0.0,0.5811469780973084
