Unnamed: 0,seconds of the day,day of the year,roomTempUpperSetpoint,thermalZone.TAir,weaBus.TDryBul,weaBus.HDirNor,totalHeatingPower.y,weaBus.HDifHor,u
0,0,1,19.5,293.15,265.95,0.0,0.0,0.0,0.0
1,900,1,19.5,292.4672475538936,265.86647727272725,0.0,1181.0058109356794,0.0,0.182752446106349
2,1800,1,19.5,292.4518882156145,265.8272727272727,0.0,1280.2628558961171,0.0,0.19811178438550311
3,2700,1,19.5,292.42774965637943,265.8494318181818,0.0,1436.2540851878402,0.0,0.22225034362054433
4,3600,1,19.5,292.3980119386654,265.95,0.0,1628.4288996569585,0.0,0.25198806133460044
5,4500,1,19.5,292.3657792403686,266.13056818181815,0.0,1836.727091017138,0.0,0.28422075963135285
6,5400,1,19.5,292.3331935502873,266.35272727272724,0.0,2047.306430223222,0.0,0.3168064497126579
7,6300,1,19.5,292.3015706235164,266.5735227272727,0.0,2251.6640794418754,0.0,0.34842937648357974
8,7200,1,19.5,292.27157452144564,266.75,0.0,2445.508657753923,0.0,0.37842547855433395
9,8100,1,19.5,292.2437691473072,266.8890625,0.0,2625.196038866331,0.0,0.40623085269277226
10,9000,1,19.5,292.2185832364469,267.0225,0.0,2787.955595378359,0.0,0.4314167635531021
11,9900,1,19.5,292.1959602686392,267.1446875,0.0,2934.1525793897067,0.0,0.45403973136075143
12,10800,1,19.5,292.1757312383656,267.25,0.0,3064.879159590593,0.0,0.4742687616344483
13,11700,1,19.5,292.1577438303723,267.3425,0.0,3181.119646742992,0.0,0.49225616962769436
14,12600,1,19.5,292.1418232838625,267.4266666666666,0.0,3284.003402018829,0.0,0.5081767161374272
15,13500,1,19.5,292.12771757656657,267.4975,0.0,3375.159075383764,0.0,0.5222824234334098
16,14400,1,19.5,292.11518050345296,267.54999999999995,0.0,3456.177723914891,0.0,0.5348194965470157
17,15300,1,19.5,292.1039928570819,267.58124999999995,0.0,3528.475937462404,0.0,0.5460071429180857
18,16200,1,19.5,292.0940369729323,267.6,0.0,3592.8141024728457,0.0,0.5559630270676621
19,17100,1,19.5,292.08524010378306,267.61875,0.0,3649.662335175898,0.0,0.5647598962169127
20,18000,1,19.5,292.0775502380696,267.65,0.0,3699.35675123664,0.0,0.5724497619303861
21,18900,1,19.5,292.0708903142837,267.7,0.0,3742.3953472122425,0.0,0.5791096857162756
22,19800,1,19.5,292.0650802496974,267.7583333333333,0.0,3779.941876325846,0.0,0.5849197503025607
23,20700,1,19.5,292.0599421397632,267.8125,0.0,3813.146015689201,0.0,0.5900578602367545
24,21600,1,22.0,292.05530756857166,267.85,0.0,6462.3256,0.0,1.0
25,22500,1,22.0,294.38862729214924,267.875,0.0,4920.238341085155,0.0,0.7613727078507395
26,23400,1,22.0,294.395350902741,267.9,0.0,4876.788180233758,0.0,0.754649097259005
27,24300,1,22.0,294.40054037959806,267.92499999999995,0.0,4843.252091089621,0.0,0.7494596204019217
28,25200,1,22.0,294.40427138418823,267.95,0.0,4819.141124612789,0.0,0.7457286158117427
29,26100,1,22.0,294.4071061222279,267.975,0.0,4800.822124409758,0.0,0.7428938777720759
30,27000,1,22.0,294.4093272803028,268.0,0.0,4786.4682777205735,0.0,0.7406727196971588
31,27900,1,22.0,294.41113337745594,268.025,0.0,4774.796689851871,0.0,0.7388666225440375
32,28800,1,22.0,294.41289498714275,268.04999999999995,0.0,4763.412594475592,0.4285714285714286,0.7371050128572278
33,29700,1,22.0,294.4150590246696,268.05625,0.0,4749.427879366632,2.169642857142857,0.7349409753304029
34,30600,1,22.0,294.41814433191536,268.04166666666663,0.0,4729.489619368343,6.0,0.73185566808462
35,31500,1,22.0,294.4221434882008,268.03125,0.0,4703.645769326968,11.377833104395606,0.7278565117992457
36,32400,1,22.0,294.426595159857,268.04999999999995,0.0,4674.87761761977,17.114697802197803,0.7234048401429618
37,33300,1,22.0,294.43171090624014,268.13398437499995,0.0,4641.817998804988,23.0442135989011,0.7182890937598359
38,34200,1,22.0,294.4373598651568,268.2739583333333,0.0,4605.312586984561,29.0,0.7126401348431841
39,35100,1,22.0,294.4432550794807,268.42695312499995,0.0,4567.215792541645,34.95975961538461,0.7067449205192702
40,36000,1,22.0,294.4491484403066,268.54999999999995,0.0,4529.130976006433,40.97923076923077,0.7008515596933762
41,36900,1,22.0,294.4549432063634,268.629921875,0.0,4491.683310971597,47.00908653846154,0.6950567936365813
42,37800,1,22.0,294.46081154214573,268.694375,0.0,4453.760214415996,53.0,0.6891884578542431
43,38700,1,22.0,294.4661280085965,268.761640625,0.0,4419.403477169586,57.760625,0.6838719914034641
44,39600,1,22.0,294.4708323859352,268.85,0.0,4389.0022590618455,60.99,0.6791676140647951
45,40500,1,22.0,294.47583410574214,268.985234375,0.0,4356.679517109331,63.974375,0.6741658942578398
46,41400,1,22.0,294.4818488280075,269.155625,0.0,4317.810423436896,68.0,0.6681511719924629
47,42300,1,22.0,294.49429971334223,269.323203125,1.921875,4237.3487483957015,80.61732954545454,0.6557002866577477
48,43200,1,22.0,294.5135104682089,269.45,6.375000000000001,4113.202595425542,102.00454545454544,0.6364895317910849
49,44100,1,22.0,294.53264884788484,269.532734375,11.390625000000004,3989.524154503125,122.38948863636364,0.617351152115134
50,45000,1,22.0,294.5457488715023,269.60187499999995,15.0,3904.8675365192616,132.0,0.6042511284976513
51,45900,1,22.0,294.5518795887108,269.670078125,16.68646978021978,3865.2488457566446,131.46162205640744,0.5981204112891874
52,46800,1,22.0,294.55595358496697,269.75,17.497252747252748,3838.9213554560174,128.18174972617743,0.5940464150330057
53,47700,1,22.0,294.55824188725217,269.8475,17.80940934065934,3824.133601017869,122.56100253285872,0.5917581127478115
54,48600,1,22.0,294.5587270789062,269.9533333333333,18.0,3820.998134571085,115.0,0.5912729210937754
55,49500,1,22.0,294.5575221188302,270.0575,16.47284872385679,3828.784978917167,106.63004860350492,0.5924778811697706
56,50400,1,22.0,294.5548446131262,270.15,12.672102091456928,3846.0878925723623,98.24438663745892,0.5951553868737846
57,51300,1,22.0,294.551104518502,270.21953125,8.535304413328603,3870.2576018088826,89.73653135268346,0.5988954814980048
58,52200,1,22.0,294.547265495332,270.26874999999995,6.0,3895.0666195191966,81.0,0.6027345046679784
59,53100,1,22.0,294.5505458482239,270.30859375,16.1264988327674,3873.867911048706,72.07593968531468,0.5994541517760581
60,54000,1,22.0,294.56607250570005,270.35,39.67603989813242,3773.52959495828,63.08886946386946,0.5839274942999282
61,54900,1,22.0,294.58749862117736,270.3879136029411,63.13756101443124,3635.067060400696,54.05736451048952,0.562501378822617
62,55800,1,22.0,294.59113635787287,270.40526960784314,73.0,3611.558821427246,45.0,0.5588636421271076
63,56700,1,22.0,294.5805625996776,270.3949908088235,60.78330592105263,3679.889889700801,34.45352564102564,0.5694374003223857
64,57600,1,22.0,294.5503384814103,270.35,35.7796052631579,3875.207982917085,22.52350427350428,0.5996615185896985
65,58500,1,22.0,294.5145766065885,270.00572250639385,11.136101973684228,4106.312862081917,11.58173076923078,0.6354233934114859
66,59400,1,22.0,294.49487194032275,269.31329923273654,0.0,4233.650831330455,4.0,0.6551280596772243
67,60300,1,22.0,294.48481457382337,268.58922634271096,0.0,4298.644808327992,0.5,0.6651854261766061
68,61200,1,22.0,294.47776407887886,268.15,0.0,4344.207402300557,0.0,0.6722359211211142
69,62100,1,22.0,294.4721970257571,267.9634850543478,0.0,4380.183512205812,0.0,0.6778029742428657
70,63000,1,22.0,294.46616700132046,267.7855978260869,0.0,4419.151493491429,0.0,0.6838329986795202
71,63900,1,22.0,294.459843527826,267.6149116847826,0.0,4460.015838135426,0.0,0.6901564721739533
72,64800,1,22.0,294.4533928218365,267.45,0.0,4501.702400589771,0.0,0.6966071781635037
73,65700,1,22.0,294.4470031443226,267.29765625,0.0,4542.994577163463,0.0,0.7029968556773838
74,66600,1,22.0,294.44075173836075,267.15625,0.0,4583.393197946705,0.0,0.7092482616392317
75,67500,1,22.0,294.43458940998784,267.01171875,0.0,4623.216170346562,0.0,0.7154105900121408
76,68400,1,22.0,294.4284335787869,266.85,0.0,4662.997155905691,0.0,0.7215664212130832
77,69300,1,22.0,294.4207751693774,266.4771306818181,0.0,4712.488291087899,0.0,0.72922483062257
78,70200,1,22.0,294.41129876212943,265.8556818181818,0.0,4773.727920242503,0.0,0.7387012378705435
79,71100,1,22.0,294.4015395894702,265.2063920454545,0.0,4836.794871553157,0.0,0.7484604105297876
80,72000,1,22.0,294.3930315605869,264.75,0.0,4891.776524411143,0.0,0.7569684394130719
81,72900,1,22.0,294.38565376669084,264.4836470170454,0.0,4939.454230777233,0.0,0.7643462333091406
82,73800,1,22.0,294.3784002402896,264.26775568181813,0.0,4986.328880130352,0.0,0.7715997597103978
83,74700,1,22.0,294.37150055146674,264.1179865056818,0.0,5030.916915842233,0.0,0.7784994485332389
84,75600,1,22.0,294.365202854695,264.04999999999995,0.0,5071.614682911371,0.0,0.7847971453049922
85,76500,1,22.0,294.359369717602,264.0304036458333,0.0,5109.310314075907,0.0,0.7906302823980127
86,77400,1,22.0,294.35381591101105,264.01961805555555,0.0,5145.2008205857965,0.0,0.7961840889889231
87,78300,1,22.0,294.3486745259449,264.0240234375,0.0,5178.426124918347,0.0,0.8013254740550905
88,79200,1,19.5,294.34404863464795,264.04999999999995,0.0,0.0,0.0,0.0
89,80100,1,19.5,292.00177390589835,264.1,0.0,4189.048082500977,0.0,0.6482260941016307
90,81000,1,19.5,291.9872731744563,264.1611111111111,0.0,4282.756530517788,0.0,0.6627268255437002
91,81900,1,19.5,291.975897007388,264.21666666666664,0.0,4356.273026193179,0.0,0.6741029926120063
92,82800,1,19.5,291.9664844378364,264.25,0.0,4417.100115368356,0.0,0.6835155621636204
93,83700,1,19.5,291.9584416964318,264.2585227272727,0.0,4469.0749290411695,0.0,0.691558303568172
94,84600,1,19.5,291.9514989002132,264.2560606060606,0.0,4513.941538780183,0.0,0.6985010997867676
95,85500,1,19.5,291.9454567963753,264.2505681818181,0.0,4552.987581089696,0.0,0.7045432036246666
96,0,2,19.5,291.94019003183865,264.25,0.0,4587.023128384106,0.0,0.7098099681613235
97,900,2,19.5,291.9356012061167,264.2592755681818,0.0,4616.677614321022,0.0,0.7143987938832765
98,1800,2,19.5,291.93159472012303,264.2785227272728,0.0,4642.568831323961,0.0,0.7184052798769471
99,2700,2,19.5,291.92809787033013,264.30850852272727,0.0,4665.166613259946,0.0,0.7219021296698429
100,3600,2,19.5,291.92507379400314,264.35,0.0,4684.709179124236,0.0,0.7249262059968373
101,4500,2,19.5,291.92329102413976,264.5019140625,0.0,4696.23001845128,0.0,0.7267089758602197
102,5400,2,19.5,291.9230384125319,264.7909375,0.0,4697.862476911444,0.0,0.726961587468054
103,6300,2,19.5,291.9233673006796,265.1094921875,0.0,4695.737094615445,0.0,0.7266326993204189
104,7200,2,19.5,291.92347750726464,265.35,0.0,4695.024903779412,0.0,0.7265224927353415
